C,CPP,Java,Python,Ruby,R
1411.4931,309.0718,769.8859,3151.792,8073.0522,1674.8339
298.1605,595.8651,760.7951,3195.5624,8190.0053,2451.8076
309.7353,300.9211,771.8668,3164.6258,8061.871,1601.2237
303.786,308.7557,798.0971,3140.4609,8087.4294,1727.6166
299.1121,300.6363,774.9008,3150.4342,8066.7808,1693.9434
296.2089,303.5602,7918.3889,3156.7437,8123.8232,1556.5635
297.392,299.4059,751.5663,3183.6816,8088.0668,1527.9928
305.8452,299.6098,784.6131,3172.9747,8065.4831,1507.3217
592.3936,309.7319,757.2802,3177.524,8043.4286,1697.2744
299.1456,585.1075,751.3792,3158.7799,8055.2797,2408.5376
298.0396,296.7758,772.8691,3141.5324,8077.3042,1753.8916
296.7633,307.602,811.056,3181.0249,8122.0142,1605.1964
293.4617,300.656,741.468,3159.9054,8064.9197,1686.5613
299.1968,300.8298,754.8381,3229.1119,8068.7678,1559.1196
301.9071,308.9531,765.2103,3162.5024,8038.2238,1664.612
297.6638,300.4382,762.0278,3177.4454,8051.3506,1750.1572
298.4123,299.6239,777.9336,3154.0071,8075.5597,1807.1745
1156.9271,309.4304,766.2589,3181.9636,8073.7189,1783.408
295.5747,622.9024,768.2743,3172.0867,8063.32,1640.3796
298.6605,300.8813,800.6636,3149.0101,8042.5164,2634.3201
300.1301,300.9111,748.8624,3147.7731,8084.0397,1632.3811
304.3748,303.4954,764.3932,3254.4704,8054.2134,1655.5473
296.9622,310.8007,786.4244,3227.5688,8063.4149,1713.622
291.9993,298.1196,780.8974,3192.152,8059.5352,1657.6081
293.0511,298.8555,760.8034,3197.1844,8053.3741,1665.7854
1408.0499,310.4441,773.5595,3174.253,8048.0582,1748.4361
304.5535,589.1342,764.1711,3151.4057,8044.2921,1537.2542
311.5461,308.3356,798.9591,3166.1516,8040.2058,2575.7114
296.5406,300.487,766.3005,3164.5299,8035.4908,1641.492
305.6028,296.6675,792.4361,3147.878,8069.9731,1567.0883
310.0662,343.3152,795.0034,3175.048,8045.7701,1656.7862
308.5027,656.5503,817.6963,3191.7012,8056.8275,1616.1432
306.1055,328.715,824.4826,3124.9621,8186.8736,1813.2011
346.3303,324.3679,812.2663,3160.0341,8280.8999,1717.886
592.7886,327.1346,826.431,3527.9953,8547.9261,1857.945
332.1392,588.2928,826.057,3255.9448,8504.9037,1719.6241
332.9523,307.3551,810.8645,3217.1632,8530.0382,2561.7679
302.8649,301.6848,841.9011,3233.0815,8436.3814,1718.5906
295.1012,303.0876,808.4338,3174.1794,8296.7129,1674.4938
304.3085,305.877,810.4868,3227.1028,8513.7683,1733.9294
300.8592,294.8012,752.1502,3192.7652,8189.5499,1604.009
304.1356,301.5307,749.3613,3183.5663,8057.5398,1709.8237
298.2717,311.352,751.7793,3182.3535,8123.1855,1777.7534
296.8623,302.8696,786.682,3196.3767,8055.1685,1554.6178
1115.5659,585.7848,799.0175,3173.1256,8121.136,1739.29
300.6097,300.8176,753.9919,3183.0045,8066.4393,2463.0531
301.1561,300.7567,774.4455,3171.0617,8106.3924,1794.1048
296.6169,300.3782,766.438,3175.5541,8076.0789,1746.7647
